"ID1","ID2","SRI","status","VI"
"id1","id4",0.15,"preference",0.334693721776513
"id1","id4",0.15,"preference",0.334693721776513
"id7","id2",0.17,"preference",0.333709413682645
"id7","id2",0.17,"preference",0.333709413682645
"id6","id8",0.2835,"preference",0.452778904377355
"id6","id8",0.2835,"preference",0.452778904377355
"id5","id10",0.223,"preference",0.453269789912013
"id5","id10",0.223,"preference",0.453269789912013
"id12","id14",0.4725,"preference",0.610346301587803
"id12","id14",0.4725,"preference",0.610346301587803
"id3","id16",0.3155,"preference",0.555053009403308
"id3","id16",0.3155,"preference",0.555053009403308
"id16","id15",0.2405,"preference",0.40848293660513
"id16","id15",0.2405,"preference",0.40848293660513
"id2","id17",0.0795,"preference",0.39466108578638
"id2","id17",0.0795,"preference",0.39466108578638
"id7","id17",0.2115,"preference",0.507125528023298
"id7","id17",0.2115,"preference",0.507125528023298
"id2","id18",0.3025,"preference",0.625421388900718
"id2","id18",0.3025,"preference",0.625421388900718
"id5","id20",0.1025,"preference",0.235698795937581
"id5","id20",0.1025,"preference",0.235698795937581
"id10","id20",0.196,"preference",0.38903553320029
"id10","id20",0.196,"preference",0.38903553320029
"id9","id21",0.3525,"preference",0.465755966100756
"id9","id21",0.3525,"preference",0.465755966100756
"id13","id22",0.481,"preference",0.654778359708785
"id13","id22",0.481,"preference",0.654778359708785
"id3","id23",0.351,"preference",0.642174146357438
"id3","id23",0.351,"preference",0.642174146357438
"id15","id23",0.296,"preference",0.500956718047222
"id15","id23",0.296,"preference",0.500956718047222
"id16","id23",0.4035,"preference",0.657400377131153
"id16","id23",0.4035,"preference",0.657400377131153
"id5","id25",0.192,"preference",0.315546462788447
"id5","id25",0.192,"preference",0.315546462788447
"id25","id24",0.0985,"preference",0.507313501907174
"id25","id24",0.0985,"preference",0.507313501907174
"id10","id28",0.218,"preference",0.745565490937077
"id10","id28",0.218,"preference",0.745565490937077
"id20","id28",0.108,"preference",0.28557214356824
"id20","id28",0.108,"preference",0.28557214356824
"id27","id29",0.2475,"preference",0.41293435969522
"id27","id29",0.2475,"preference",0.41293435969522
"id11","id30",0.468,"preference",0.589564488666427
"id11","id30",0.468,"preference",0.589564488666427
"id5","id31",0.2545,"preference",0.516303786412221
"id5","id31",0.2545,"preference",0.516303786412221
"id10","id31",0.181,"preference",0.34098804062214
"id10","id31",0.181,"preference",0.34098804062214
"id13","id32",0.3755,"preference",0.462525365436771
"id13","id32",0.3755,"preference",0.462525365436771
"id22","id32",0.4945,"preference",0.62845279999612
"id22","id32",0.4945,"preference",0.62845279999612
"id3","id34",0.2365,"preference",0.756211719823825
"id3","id34",0.2365,"preference",0.756211719823825
"id15","id34",0.272,"preference",0.80250122712767
"id15","id34",0.272,"preference",0.80250122712767
"id16","id34",0.118,"preference",0.439991383051727
"id16","id34",0.118,"preference",0.439991383051727
"id24","id35",0.3535,"preference",0.665074042796038
"id24","id35",0.3535,"preference",0.665074042796038
"id3","id36",0.1585,"preference",0.540186619602974
"id3","id36",0.1585,"preference",0.540186619602974
"id2","id37",0.287,"preference",0.530539575164528
"id2","id37",0.287,"preference",0.530539575164528
"id37","id19",0.1415,"preference",0.573277427386436
"id37","id19",0.1415,"preference",0.573277427386436
"id27","id38",0.3185,"preference",0.421677826446858
"id27","id38",0.3185,"preference",0.421677826446858
"id29","id38",0.291,"preference",0.44473093149497
"id29","id38",0.291,"preference",0.44473093149497
"id2","id39",0.1355,"preference",0.310596968304877
"id2","id39",0.1355,"preference",0.310596968304877
"id19","id39",0.087,"preference",0.279352596860372
"id19","id39",0.087,"preference",0.279352596860372
"id37","id39",0.171,"preference",0.270430232832389
"id37","id39",0.171,"preference",0.270430232832389
"id26","id40",0.2015,"preference",0.244269552740744
"id26","id40",0.2015,"preference",0.244269552740744
"id33","id41",0.354,"preference",0.449815569060298
"id33","id41",0.354,"preference",0.449815569060298
"id2","id42",0.3175,"preference",0.53012984501928
"id2","id42",0.3175,"preference",0.53012984501928
"id18","id42",0.3135,"preference",0.45635701738423
"id18","id42",0.3135,"preference",0.45635701738423
"id19","id43",0.2725,"preference",0.592750520863444
"id19","id43",0.2725,"preference",0.592750520863444
"id3","id47",0.229,"preference",0.363494401760631
"id3","id47",0.229,"preference",0.363494401760631
"id15","id47",0.266,"preference",0.367508929610509
"id15","id47",0.266,"preference",0.367508929610509
"id23","id47",0.33,"preference",0.494810078116893
"id23","id47",0.33,"preference",0.494810078116893
"id4","id48",0.3985,"preference",0.811608120135821
"id4","id48",0.3985,"preference",0.811608120135821
"id28","id49",0.1475,"preference",0.297222376553019
"id28","id49",0.1475,"preference",0.297222376553019
"id41","id50",0.394,"preference",0.525346916131219
"id41","id50",0.394,"preference",0.525346916131219
"id18","id51",0.371,"preference",0.520242444373582
"id18","id51",0.371,"preference",0.520242444373582
"id42","id51",0.437,"preference",0.782045732511529
"id42","id51",0.437,"preference",0.782045732511529
"id16","id52",0.1115,"preference",0.19066929037805
"id16","id52",0.1115,"preference",0.19066929037805
"id19","id53",0.155,"preference",0.37174842926236
"id19","id53",0.155,"preference",0.37174842926236
"id43","id53",0.3085,"preference",0.535280830935674
